Word,Occurrences
foreign,10
connection,13
canadians,8
approve,3
reasons,7
loan,3
address,2
community,15
agents,1
church,11
suppressing,1
described,13
raise,9
create,15
acceptance,2
political,28
convicted,5
whom,36
maintenance,2
collected,8
territory,2
treatment,13
institutionalized,7
champion,1
fire,1
firefighters,5
citizen,2
fund,3
determination,20
exemption,45
handling,6
classifications,2
governmentwide,1
judicial,7
budget,1
technical,7
while,1
endanger,1
selfemployment,2
guide,2
owed,2
unitary,3
voters,1
herein,2
wiretapping,5
ready,1
ethnicity,5
antidiscrimination,1
renounced,1
clerical,1
grant,1
rules,22
modification,7
products,1
higher,2
development,23
used,15
forced,1
restraint,1
medicaid,9
purpose,45
necessity,2
contractors,15
polygraphtype,1
objecting,3
task,12
older,30
analysis,2
person,14
regulating,13
chaplains,1
organization,24
arrests,2
questions,6
racially,7
injuries,3
timber,1
wage,22
retirement,35
admission,10
guaranteed,22
exercising,1
governmental,39
subjects,2
parents,13
location,11
ballots,11
guarantees,3
administrative,5
associations,5
victims,3
amended,1
emergency,7
evaluate,1
showing,1
discriminatory,42
oneyear,1
matters,19
projects,6
imposed,3
submission,2
collect,6
individuals,292
essential,4
taxexempt,10
pertaining,1
complainants,4
senate,3
economic,19
indigent,1
describing,4
defamation,3
transactions,24
integration,8
religion,69
eliminate,75
tollfree,13
inimical,6
patient,3
interpreters,2
nonjudicial,1
continuing,3
stem,1
santa,1
usc,11
relating,180
faith,4
asserting,1
working,2
simplify,1
completing,1
range,2
militia,11
allotment,1
hatred,1
womens,26
accessible,12
into,8
within,42
ministers,8
appropriate,10
because,57
conscientious,14
placing,1
submit,4
exonerate,8
sections,13
files,7
withholding,1
medicalcare,3
deductions,1
segregation,5
filed,8
forbidding,2
line,13
notification,1
directed,1
up,1
us,45
slander,2
growth,5
similar,13
called,21
segregated,4
storing,1
ordered,4
adults,1
lowincome,2
accessibility,4
holtzman,1
nondiscriminatory,1
denying,27
adjudicate,1
objection,14
analgesics,2
peace,1
preventing,3
application,26
recognition,1
income,16
department,30
reflections,2
developmental,1
oceangoing,1
prepared,3
